==30447== NVPROF is profiling process 30447, command: ./managed_ordered_execution_sync 25 100
==30447== Profiling application: ./managed_ordered_execution_sync 25 100
==30447== Profiling result:
"Time(%)","Time","Calls","Avg","Min","Max","Name"
%,ms,,ms,ms,ms,
100.000000,9.092668,1,9.092668,9.092668,9.092668,"kernelordered(int*, int)"

==30447== Unified Memory profiling result:
"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"Tesla K40c (0)",13,1.834134MB,384.000000KB,2.000000MB,23.843750MB,3.885376ms,"Host To Device"
"Tesla K40c (0)",304,160.630859KB,4.000000KB,0.996094MB,47.687500MB,7.735808ms,"Device To Host"
Total CPU Page faults: 152

==30447== API calls:
"Time(%)","Time","Calls","Avg","Min","Max","Name"
%,ms,,ms,ms,ms,
52.445828,0.271125,1,0.271125,0.271125,0.271125,"cuDeviceTotalMem"
43.060999,0.222609,91,0.002446,0.000139,0.074156,"cuDeviceGetAttribute"
3.597943,0.018600,1,0.018600,0.018600,0.018600,"cuDeviceGetName"
0.691734,0.003576,3,0.001192,0.000231,0.002783,"cuDeviceGetCount"
0.203497,0.001052,3,0.000350,0.000180,0.000493,"cuDeviceGet"
