==9572== NVPROF is profiling process 9572, command: ./managed_ordered_execution_sync 76 100
==9572== Profiling application: ./managed_ordered_execution_sync 76 100
==9572== Profiling result:
"Time(%)","Time","Calls","Avg","Min","Max","Name"
%,ms,,ms,ms,ms,
100.000000,27.598490,1,27.598490,27.598490,27.598490,"kernelordered(int*, int)"

==9572== Unified Memory profiling result:
"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"Tesla K40c (0)",38,1.907380MB,108.000000KB,2.000000MB,72.480469MB,11.816128ms,"Host To Device"
"Tesla K40c (0)",884,167.917969KB,4.000000KB,0.996094MB,144.960938MB,23.524000ms,"Device To Host"
Total CPU Page faults: 442

==9572== API calls:
"Time(%)","Time","Calls","Avg","Min","Max","Name"
%,ms,,ms,ms,ms,
58.837136,0.393997,1,0.393997,0.393997,0.393997,"cuDeviceTotalMem"
36.633116,0.245310,91,0.002695,0.000200,0.079598,"cuDeviceGetAttribute"
3.603130,0.024128,1,0.024128,0.024128,0.024128,"cuDeviceGetName"
0.712920,0.004774,3,0.001591,0.000380,0.003686,"cuDeviceGetCount"
0.213697,0.001431,3,0.000477,0.000255,0.000778,"cuDeviceGet"
