==7073== NVPROF is profiling process 7073, command: ./managed_ordered_execution_sync 82 100
==7073== Profiling application: ./managed_ordered_execution_sync 82 100
==7073== Profiling result:
"Time(%)","Time","Calls","Avg","Min","Max","Name"
%,ms,,ms,ms,ms,
100.000000,29.781042,1,29.781042,29.781042,29.781042,"kernelordered(int*, int)"

==7073== Unified Memory profiling result:
"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"Tesla K40c (0)",40,1.955078MB,384.000000KB,2.000000MB,78.203125MB,12.747136ms,"Host To Device"
"Tesla K40c (0)",952,168.234375KB,4.000000KB,0.996094MB,156.406250MB,25.428608ms,"Device To Host"
Total CPU Page faults: 476

==7073== API calls:
"Time(%)","Time","Calls","Avg","Min","Max","Name"
%,ms,,ms,ms,ms,
52.091432,0.265584,1,0.265584,0.265584,0.265584,"cuDeviceTotalMem"
43.031959,0.219395,91,0.002410,0.000132,0.073811,"cuDeviceGetAttribute"
3.988491,0.020335,1,0.020335,0.020335,0.020335,"cuDeviceGetName"
0.692764,0.003532,3,0.001177,0.000211,0.002889,"cuDeviceGetCount"
0.195355,0.000996,3,0.000332,0.000163,0.000489,"cuDeviceGet"
