==1618== NVPROF is profiling process 1618, command: ./managed_ordered_execution_sync 16 100
==1618== Profiling application: ./managed_ordered_execution_sync 16 100
==1618== Profiling result:
"Time(%)","Time","Calls","Avg","Min","Max","Name"
%,ms,,ms,ms,ms,
100.000000,5.819293,1,5.819293,5.819293,5.819293,"kernelordered(int*, int)"

==1618== Unified Memory profiling result:
"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"Tesla K40c (0)",9,1.695746MB,384.000000KB,2.000000MB,15.261719MB,2.487840ms,"Host To Device"
"Tesla K40c (0)",204,153.214844KB,4.000000KB,0.996094MB,30.523438MB,4.961280ms,"Device To Host"
Total CPU Page faults: 102

==1618== API calls:
"Time(%)","Time","Calls","Avg","Min","Max","Name"
%,ms,,ms,ms,ms,
58.510714,0.393467,1,0.393467,0.393467,0.393467,"cuDeviceTotalMem"
36.941574,0.248421,91,0.002729,0.000198,0.080381,"cuDeviceGetAttribute"
3.593618,0.024166,1,0.024166,0.024166,0.024166,"cuDeviceGetName"
0.739810,0.004975,3,0.001658,0.000303,0.003909,"cuDeviceGetCount"
0.214285,0.001441,3,0.000480,0.000270,0.000706,"cuDeviceGet"
